text,category,length_type
"Global stock markets experienced unprecedented volatility today as investors reacted to the Federal Reserve's surprise announcement regarding interest rate policy. The S&P 500 dropped 3.2 percent in early trading before recovering slightly by market close, while the Dow Jones Industrial Average shed over 400 points. Analysts attribute the market turbulence to uncertainty surrounding inflation data and concerns about the potential for a recession in the coming quarters. Trading volume reached its highest level in six months as institutional investors repositioned their portfolios.",Business,Long
"Apple Inc. reported quarterly earnings that exceeded Wall Street expectations, driven by strong iPhone sales in emerging markets and continued growth in its services division. The tech giant posted revenue of $94.8 billion for the quarter, representing a 5 percent increase year-over-year despite challenging macroeconomic conditions. CEO Tim Cook highlighted the company's expanding presence in India and Southeast Asia as key growth drivers. Apple's stock rose 4 percent in after-hours trading following the announcement.",Business,Long
"The European Central Bank raised interest rates by 25 basis points in its latest monetary policy decision, signaling its commitment to bringing inflation back to the 2 percent target. ECB President Christine Lagarde emphasized that further rate increases may be necessary if price pressures persist across the eurozone economy. The decision was largely expected by financial markets, though some analysts had predicted a more aggressive 50 basis point hike. European bank stocks rallied on the news as higher rates typically boost lending margins.",Business,Long
"Amazon announced plans to invest $15 billion in expanding its logistics network across the United States, creating an estimated 50,000 new jobs over the next three years. The e-commerce giant will build 20 new fulfillment centers and upgrade existing facilities with advanced robotics and automation technology. This expansion comes as Amazon faces increasing competition from Walmart and other retailers investing heavily in same-day delivery capabilities. The company expects these investments to reduce delivery times and operational costs significantly.",Business,Long
"JPMorgan Chase reported record quarterly profits of $14.3 billion as the nation's largest bank benefited from rising interest rates and strong performance in its investment banking division. CEO Jamie Dimon cautioned that economic headwinds remain, including persistent inflation and geopolitical tensions that could impact future results. The bank increased its loan loss reserves by $1.5 billion as a precautionary measure against potential defaults. JPMorgan's stock price reached an all-time high following the earnings release.",Business,Long
"Tesla delivered 435,000 vehicles in the third quarter, falling short of analyst expectations and raising concerns about demand for electric vehicles in a high-interest-rate environment. The company implemented significant price cuts across its model lineup earlier this year, which boosted sales volume but compressed profit margins. CEO Elon Musk announced plans to accelerate production of the Cybertruck at the company's Texas factory. Tesla shares declined 6 percent in pre-market trading as investors reassessed growth projections.",Business,Long
"The cryptocurrency market experienced a sharp sell-off as Bitcoin fell below $25,000 following reports of increased regulatory scrutiny from the Securities and Exchange Commission. Ethereum and other major altcoins also declined, with the total cryptocurrency market capitalization dropping by $100 billion in 24 hours. Industry analysts pointed to concerns about potential enforcement actions against major exchanges as the primary catalyst for the downturn. Trading volumes on centralized exchanges spiked to their highest levels since the FTX collapse.",Business,Long
"Microsoft completed its acquisition of the gaming company Activision Blizzard for $69 billion after receiving final regulatory approval from competition authorities. The deal, which faced intense scrutiny from antitrust regulators in multiple jurisdictions, makes Microsoft the third-largest gaming company globally by revenue. The acquisition brings popular franchises including Call of Duty, World of Warcraft, and Candy Crush under Microsoft's Xbox umbrella. Analysts expect the deal to significantly boost Microsoft's gaming subscription service, Game Pass.",Business,Long
"Walmart reported strong quarterly results as the retail giant gained market share from competitors by offering competitive prices amid persistent inflation. The company raised its full-year guidance, projecting same-store sales growth of 5 percent as consumers increasingly seek value-oriented shopping options. Walmart's e-commerce business grew 24 percent year-over-year, driven by expanded grocery delivery and pickup services. The retailer also announced plans to renovate 500 stores and open 150 new locations over the next two years.",Business,Long
"The U.S. unemployment rate fell to 3.5 percent in the latest jobs report, with employers adding 339,000 positions across various sectors of the economy. Healthcare, professional services, and leisure and hospitality led job gains, while the technology sector continued to experience layoffs. Average hourly earnings increased by 4.3 percent compared to the previous year, slightly below economist forecasts. The robust labor market data suggests the Federal Reserve may need to maintain higher interest rates longer than initially anticipated.",Business,Long
